property_name	address	area	city	province	state	country	latitude	longitude	property_type	hotel_brand	hotel_star_rating	hotel_facilities	number_of_hotel_facilities	room_type	room_count	room_facilities	number_of_room_facilities	point_of_interest	number_of_POIs	image_count	positive_reviews_count	critical_reviews_count	guest_recommendation	site_review_count	site_review_rating	site_stay_service_quality_review_rating	site_stay_amenities_review_rating	site_stay_food_review_rating	site_stay_value_review_rating	site_stay_location_review_rating	site_stay_cleanliness_review_rating	uniq_id
Baragarh Regency	15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh	Others	Manali	Manali	Himachal Pradesh	India	32.1393865	77.1546599	Resort	null	2	Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites	36	Deluxe Room	17	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable	39	Hadimba Temple|Naggar Village|Himalayan Nyingmapa Gompa|Tibetan Monasteries|Naggar|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Arjun Gufa|Nehru Kund|Beas Kund|Club House	18	20	74	13	85	87	4	3.9	3.7	3.8	4.1	4	4.1	2c8db027d43a9452a43e88eb30d9f983
Asian Suites A- 585	A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon	Sushant Lok	Gurgaon	Gurgaon	Haryana	India	28.4720966	77.0725457	Guest House	null	0	Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup	16	Deluxe Room With Free WIFI	18	Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Coffee Table|Snacks / Beverage|TV|Room Heater|Mirror|Mini Refrigerator|Utensils (on request)|Attached Bathroom	25	Sushant Lok|Sahara Mall|Amity International School	3	17	8	0	87	8	4.5	4.7	4.7	4.3	4.7	4.8	4.8	e98f69f889c0235e6dc480e7df6de0de
Bevvan Resort	Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa	Calangute Area	Goa	Goa	Goa	India	15.54839798	73.75763376	Resort	null	0	Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant	4	Standard Room	15	Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom	18	Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach	8	28	1	1	50	2	2.5	2.5	2.5	1	2.5	2.5	1	9b59d00eaffc273d83000ed7dcda0e83
Apple Inn Cottage	Simsa	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2236026	77.1858995	Cottage	null	2	Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental	6	Deluxe Room	24	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water	5	The Mall|Tibetian Monastery|Vashisht Hot Baths|Jagatsuhk|Village Simsa|Chandrakhani Pass|Manali 1st Super Market	7	4	1	0	100	1	5	5	5	5	5	5	5	df0971f9c5501af112485ee28b468ce5
Anmol Hotel Pvt.Ltd	8180 Street No.-6,Arakashan Road,Paharganj	Paharganj	Delhi	Delhi	Delhi	India	28.6467775	77.2127353	Hotel	null	2	Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup	7	Standard Room Non AC	20	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Mirror	6	Gaffar Market|YMCA Institute|Agrasen Boali|Chandni Chowk|Shivaji Stadium|Paharganj|Jantar Mantar|Talkatora Indoor Stadium|Central Delhi|Ajmeri Gate|Karnail Singh Stadium	11	6	56	65	63	121	2.8	2.7	2.6	2.5	2.9	2.9	2.6	0c3514344c9cda8718f558e84bdb44ef
Baia Do Sol (A Boutique Beach Resort)	Baga Beach, Calangute, Goa	Baga Area	Goa	Goa	Goa	India	15.56092347	73.74975872	Resort	null	3	Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours)	15	Semi Deluxe	15		0	North Goa|Calangute Beach|Baga Area|Anjuna Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop	8	12	14	2	68	16	3.9	3.9	3.8	4.7	3.9	4.4	4.6	9250fc9e71eb1b99830b039492310c60
Balaji Residency	K-69, Kalkaji	Kalkaji	Delhi	Delhi	Delhi	India	28.5403197	77.2613326	Hotel	null	2	Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby	6	Deluxe A/C Room	10	Basic Bathroom Amenities|Hairdryer (on request)|Internet Connection In Room| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom	7	Tughlakabad Fort|South Delhi|Masjid Moth|IIBMS|Lotus Temple|District Court Saket|Lajpat Nagar Market|Indraprastha Apollo Hospitals|Jamia Millia Islamia|Moolchand Medcity|ISKCON Temple|Lajpat Nagar|Batra Hospital &amp; Medical Research Centre|Fortis La Femme|Fortis Escorts Heart Institute &amp; Research Centre|Pushpawati Singhania Research Institute|Siri Fort|Kalkaji|Batra Hospital & Medical Research Centre|Fortis Escorts Heart Institute & Research Centre	20	3	0	0	0	0	0	0	0	0	0	0	0	815a2a40bc6cc2b3161553cb67a33b03
BB Palace-A Boutique Hotel	2638-2642 Gurudwara Road,Karol Bagh	Karol Bagh Area	Delhi	Delhi	Delhi	India	28.65058813	77.194692	Hotel	null	3	Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility	64	Club Room	24	Room Service |Air Conditioning |Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Voicemail|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Bathrobes|Mirror|Luggage Rack	27	International Airport|Domestic Airport|New Delhi Railway Station|India Gate|Red Fort|Lotus Temple|Nehru Place|Connaught Place|Jantar Mantar|Qutab Minar|Gurgaon|Birla Mandir|Karol Bagh Metro Station|Noida|Liberty Theatre|Jhandewalan Mandir|Gaffar Market|Shivaji Stadium|Karol Bagh Area|Talkatora Indoor Stadium|Sarai Rohilla Station|Ajmeri Gate|Karnail Singh Stadium|West Delhi	24	20	452	98	76	550	4	4	3.9	4.1	4	4	4.1	04e102bdd434eaeec45f095aac031106
Art Inn Homestay	85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan	Others	Jaipur	Jaipur	Rajasthan	India	26.9047751	75.7488641	Homestay	null	1	Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk	4	Standared Room	2	Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom	6	Others|K.L. Saini Stadium|BAPS Shri Swaminarayan Mandir	3	5	1	0	0	1	3	4	2	3	1	4	3	059fa03383171456eb56f4503d499f6f
Arjun Homestay	51 Amri Nagar south ex	South Extension	Delhi	Delhi	Delhi	India	28.5732907	77.2219418	Homestay	null	0	Doctor on Call|Front Desk|24 Hour Front Desk	3	Deluxe	4	Room Service |Basic Bathroom Amenities	2	Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Khan Market|ISKCON Temple|AASHLOK Hospital|Thyagaraj Sports Complex|Japanese Embassy|INA Market|French Cultural Center in India|South Extension|Hauz Khas|Lajpat Nagar Market|Embassy of Spain|Lajpat Nagar|Lodhi Gardens|Metro Station Hauz Khas|Deer Park|Embassy of The Arab Republic of Egypt|Masjid Moth|Hazrat Nizammudin Railway Station|Ethiopia Embassy|Humayuns Tomb|Jawaharlal Nehru Stadium|Moolchand Medcity|Sarojini Nagar Market|Safdarjang Hospital|Embassy of Israel|Siri Fort|Brazil Embassy	32	6	0	0	0	0	0	0	0	0	0	0	0	78e97b94135c33b231335c42695149ed
