property_name	address	area	city	province	state	country	latitude	longitude	property_type	hotel_brand	hotel_star_rating	hotel_facilities	number_of_hotel_facilities	room_type	room_count	room_facilities	number_of_room_facilities	point_of_interest	number_of_POIs	image_count	positive_reviews_count	critical_reviews_count	guest_recommendation	site_review_count	site_review_rating	site_stay_service_quality_review_rating	site_stay_amenities_review_rating	site_stay_food_review_rating	site_stay_value_review_rating	site_stay_location_review_rating	site_stay_cleanliness_review_rating	uniq_id
Apple Inn Cottage	Simsa	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2236026	77.1858995	Cottage	null	2	Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental	6	Deluxe Room	24	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water	5	The Mall|Tibetian Monastery|Vashisht Hot Baths|Jagatsuhk|Village Simsa|Chandrakhani Pass|Manali 1st Super Market	7	4	1	0	100	1	5	5	5	5	5	5	5	df0971f9c5501af112485ee28b468ce5
Atithi Cottages	Village Simsa, Kanyal Road	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.226787	77.1854487	Hotel	null	3	Banquet Facilities|Business Center |Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Catering|Suitable For Children|Grocery|Conference Facility |Kitchen available (home cook food on request)|Massage Services |Discotheque | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility	38	Luxury Room	10	Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Heating Facility (on request) |Iron / Ironing board available|Kitchenette|Mini bar - On Charge |Shower Facility Available|Breakfast Available (surcharge)|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Sofa Cum Bed Available|Primium Bathrooms|Hill View from all Rooms|Coffee Table|Wardrobe|Private Garden|TV|Room Heater|Mirror|Luxurious Feather Mattresses|Gas Cylinder - Chargeable|Dressing Area|Attached Bathroom	33	Village Simsa|Chandrakhani Pass|Manali 1st Super Market	3	30	2	4	16	6	2.9	3.1	3.1	2.9	2.9	2.9	3.1	c5cfd0295572c7f718bf405fff4b3cd4
Baragarh Regency	15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh	Others	Manali	Manali	Himachal Pradesh	India	32.1393865	77.1546599	Resort	null	2	Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites	36	Deluxe Room	17	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable	39	Hadimba Temple|Naggar Village|Himalayan Nyingmapa Gompa|Tibetan Monasteries|Naggar|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Arjun Gufa|Nehru Kund|Beas Kund|Club House	18	20	74	13	85	87	4	3.9	3.7	3.8	4.1	4	4.1	2c8db027d43a9452a43e88eb30d9f983
Baragarh Villa	Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh	Naggar Road	Manali	Manali	Himachal Pradesh	India	32.2459026	77.1880853	Villa	null	4	Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens	6	Royal Suite	4	Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom	6	Naggar Road|Manali 1st Super Market|Chandrakhani Pass|Vashist Hot Water Springs and Temples	4	7	0	0	0	0	0	0	0	0	0	0	0	72968b25d39d6fbc47f342fc6ca80cee
Baragarh Villa	Baragarh Villa Baragarh Estate, Village Gurdorh, PO Larenkelo Distt. Kullu Himachal Pradesh	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Resort	null	3	Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens|Smoking Area |Transfers Available|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service	12	Royal Suite	8	Room Service |Basic Bathroom Amenities|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Mirror|Curtains/Shades|Dustbins	11	Chandrakhani Pass|Aleo, Left Bank|Manali 1st Super Market|Vashist Hot Water Springs and Temples	4	15	0	0	0	0	0	0	0	0	0	0	0	3fc4b8776a78c95a1d6f4fb1609edd93
BAZIRA COTTAGES	VILL DAWADA, NH 21 MANALI  175131	Others	Manali	Manali	Himachal Pradesh	India	32.09650257	77.12678766	Hotel	null	0	Parking Facilities Available|Front Desk|Medical Assistance Available|Nature Walk|Food Facility|Parking Facility|Room Service	7	DELUXE ROOM	9	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Window Opens|Coffee Table|Sofa Table / Extra Seats |TV|Mirror|Attached Bathroom|Curtains/Shades|In-room Storage Space|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat	24	Others|Arjun Gufa|Naggar|Naggar Village	4	18	0	0	0	0	0	0	0	0	0	0	0	6c858c24e8eea56b71f2343c7b936382
Bella Marina Villa	Shuru, PO Prini, Manali	Village Prini	Manali	Manali	Himachal Pradesh	India	32.21280111	77.19837426	Hotel	null	0	Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service	16	Deluxe Room	11	Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Daily Room Cleaning|Dustbins	13	Hadimba Temple|Himalayan Nyingmapa Gompa|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Village Prini|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House	13	14	1	0	100	1	4	4	4	4	4	4	4	4f232fbf4f2b1c496d77e2a17ec470c9
Bharhka Countryside Cottage Resort	Left bank - Naggar road,near Sarsai, Bharhka po Haripur	Naggar Road	Manali	Manali	Himachal Pradesh	India	32.13729659	77.17066482	Resort	null	4	Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Laundry Service Available|Library|Lobby|Pets Allowed|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Gardens|Suitable For Children|Conference Facility |Kitchen available (home cook food on request)|Multi - Line Phone|Picnic Area|Discotheque |Clubhouse|Safari|Skiing Facility Available|Smoking Area |Open Air Restaurant / Dining | Bike on Rent|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Badminttion Court|Campfire / Bon Fire|Internet Access Free|Family Room|Room Service (24 Hours)| Cook Services|Party hall|Air / Rail Booking|Guide / Sightseeing Service|Laptop Available on Hire|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Restaurant|Room Service	47	Royal Himalyan Suite	44	Alarm Clock|Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Crockery / Cutlery|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Microwave Oven Available |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available|Air Cooler|Snacks / Beverage|TV|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Dressing Area|Luggage Rack	20	Arjun Gufa|Naggar Road|Naggar|Naggar Village	4	45	12	3	80	15	4.1	4.3	4	3.7	4.3	4	4.2	e739aadfc0d8548537655a970e979eb6
BHAWANI COTTAGE	SIMSA ROAD ,KANYAL PO, CHHIYAL TEHSIL	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2254938	77.1827345	Cottage	null	2	Parking Facilities Available|Multi Cuisine Restaurant | Bike on Rent|Campfire / Bon Fire|Outdoor Parking - Non Secured	5	Family deluxe room	30	Cable / Satellite / Pay TV available|Telephone|Breakfast Available (surcharge)|Breakfast Available|TV|Mirror|Clothes Hook in Bathroom|Rooms with Attached Bathrooms|Western Toilet Seat	9	Village Simsa|Chandrakhani Pass|Manali 1st Super Market	3	10	10	4	85	14	4	3.7	3.9	3.5	4.1	3.9	3.5	d26a2adff262d91a9bf2da1e936eda98
Budget Cottages Manali	Log Hut Ara	Log Huts Area	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Cottage	null	0	Room Service (24 Hours)|Parking Facility	2	Deluxe Cottage Room	5		0	Chandrakhani Pass|Manali 1st Super Market|Log Huts Area|Vashist Hot Water Springs and Temples	4	8	0	0	0	0	0	0	0	0	0	0	0	ee0abf6e526f9e38d4b537d708feb8e7
